"PLU_SAP60";"store_id";"PredictionDay";"ReferenceDay";"FinalForecast"
"00000000000000966679";"0067";2023-12-05;2023-12-01;"00000000000000003.43"
"00000000000000966668";"0067";2023-12-06;2023-12-01;"00000000000000057.55"
"00000000000000966669";"0067";2023-12-06;2023-12-01;"00000000000000057.12"
"00000000000000966670";"0067";2023-12-06;2023-12-01;"00000000000000008.42"
"00000000000000632861";"0067";2023-12-03;2023-12-01;"00000000000000001.62"
"00000000000000966679";"0067";2023-12-16;2023-12-01;"00000000000000003.24"
"00000000000000626218";"0067";2023-12-20;2023-12-01;"00000000000000002.73"
"00000000000000638771";"0067";2023-12-20;2023-12-01;"00000000000000016.48"
"00000000000000626218";"0067";2023-12-10;2023-12-01;"00000000000000003.70"
"00000000000000966670";"0067";2023-12-22;2023-12-01;"00000000000000008.44"
"00000000000000632861";"0067";2023-12-15;2023-12-01;"00000000000000001.24"
"00000000000000638771";"0067";2023-12-15;2023-12-01;"00000000000000019.83"
"00000000000000655130";"0067";2023-12-09;2023-12-01;"00000000000000018.30"
"00000000000000626218";"0067";2023-12-26;2023-12-01;"00000000000000001.92"
"00000000000000638771";"0067";2023-12-23;2023-12-01;"00000000000000021.64"
"00000000000000655130";"0067";2023-12-02;2023-12-01;"00000000000000007.82"
"00000000000000626218";"0067";2023-12-04;2023-12-01;"00000000000000003.02"
"00000000000000655130";"0067";2023-12-07;2023-12-01;"00000000000000012.14"
"00000000000000966668";"0067";2023-12-26;2023-12-01;"00000000000000054.13"
"00000000000000966669";"0067";2023-12-26;2023-12-01;"00000000000000049.07"
"00000000000000966670";"0067";2023-12-26;2023-12-01;"00000000000000006.77"
"00000000000000966668";"0067";2023-12-11;2023-12-01;"00000000000000058.64"
"00000000000000966669";"0067";2023-12-11;2023-12-01;"00000000000000059.01"
"00000000000000966669";"0067";2023-12-24;2023-12-01;"00000000000000125.78"
"00000000000000966670";"0067";2023-12-24;2023-12-01;"00000000000000009.02"
"00000000000000631234";"0067";2023-12-02;2023-12-01;"00000000000000000.04"
"00000000000000638771";"0067";2023-12-04;2023-12-01;"00000000000000017.37"
"00000000000000966679";"0067";2023-12-10;2023-12-01;"00000000000000003.29"
"00000000000000655130";"0067";2023-12-10;2023-12-01;"00000000000000012.21"
"00000000000000655130";"0067";2023-12-11;2023-12-01;"00000000000000010.09"
"00000000000000966679";"0067";2023-12-26;2023-12-01;"00000000000000002.57"
"00000000000000966679";"0067";2023-12-23;2023-12-01;"00000000000000003.31"
"00000000000000966668";"0067";2023-12-13;2023-12-01;"00000000000000055.54"
"00000000000000966669";"0067";2023-12-13;2023-12-01;"00000000000000055.85"
"00000000000000966679";"0067";2023-12-13;2023-12-01;"00000000000000003.18"
"00000000000000966668";"0067";2023-12-23;2023-12-01;"00000000000000073.15"
