"PLU_SAP60";"store_id";"PredictionDay";"ReferenceDay";"FinalForecast"
" 000000000000858091.";"0978";"2023-12-20";"2023-12-18";" 0000000000000011.50"
" 000000000000632861.";"0328";"2023-12-23";"2023-12-18";" 0000000000000001.03"
" 000000000000858091.";"0486";"2023-12-27";"2023-12-18";" 0000000000000002.14"
" 000000000000858091.";"0486";"2024-01-07";"2023-12-18";" 0000000000000004.08"
" 000000000000632861.";"0067";"2024-01-07";"2023-12-18";" 0000000000000001.50"
" 000000000000638771.";"0328";"2024-01-02";"2023-12-18";" 0000000000000038.57"
" 000000000000571581.";"0328";"2024-01-07";"2023-12-18";" 0000000000000017.70"
" 000000000000966670.";"0486";"2023-12-18";"2023-12-18";" 0000000000000005.48"
" 000000000000858091.";"0978";"2023-12-23";"2023-12-18";" 0000000000000021.14"
" 000000000000571581.";"0486";"2023-12-21";"2023-12-18";" 0000000000000000.39"
" 000000000000632861.";"0486";"2024-01-04";"2023-12-18";" 0000000000000001.69"
" 000000000000638484.";"0332";"2023-12-21";"2023-12-18";" 0000000000000003.45"
" 000000000000571581.";"0332";"2023-12-29";"2023-12-18";" 0000000000000002.49"
" 000000000000638484.";"0328";"2023-12-31";"2023-12-18";" 0000000000000000.46"
" 000000000000858091.";"0328";"2023-12-31";"2023-12-18";" 0000000000000018.46"
" 000000000000632861.";"0978";"2023-12-31";"2023-12-18";" 0000000000000002.76"
" 000000000000966669.";"0486";"2023-12-28";"2023-12-18";" 0000000000000031.29"
" 000000000000966670.";"0486";"2023-12-28";"2023-12-18";" 0000000000000005.67"
" 000000000000632861.";"0978";"2024-01-06";"2023-12-18";" 0000000000000001.98"
" 000000000000966669.";"0486";"2023-12-29";"2023-12-18";" 0000000000000046.17"
" 000000000000966670.";"0486";"2023-12-29";"2023-12-18";" 0000000000000007.24"
" 000000000000966679.";"0486";"2023-12-29";"2023-12-18";" 0000000000000002.35"
" 000000000000858091.";"0328";"2023-12-28";"2023-12-18";" 0000000000000011.78"
" 000000000000649587.";"0067";"2024-01-10";"2023-12-18";" 0000000000000005.34"
" 000000000000858091.";"0328";"2024-01-03";"2023-12-18";" 0000000000000011.14"
" 000000000000632861.";"0067";"2024-01-08";"2023-12-18";" 0000000000000001.19"
" 000000000000632861.";"0067";"2024-01-06";"2023-12-18";" 0000000000000001.39"
" 000000000000638771.";"0328";"2024-01-05";"2023-12-18";" 0000000000000040.47"
" 000000000000858091.";"0332";"2024-01-10";"2023-12-18";" 0000000000000005.35"
" 000000000000571581.";"0332";"2024-01-08";"2023-12-18";" 0000000000000001.36"
" 000000000000858091.";"0332";"2024-01-08";"2023-12-18";" 0000000000000004.77"
" 000000000000638484.";"0486";"2024-01-08";"2023-12-18";" 0000000000000000.19"
" 000000000000638771.";"0486";"2024-01-08";"2023-12-18";" 0000000000000009.97"
" 000000000000638484.";"0332";"2024-01-02";"2023-12-18";" 0000000000000002.92"
" 000000000000858091.";"0486";"2024-01-11";"2023-12-18";" 0000000000000003.04"
" 000000000000966668.";"0978";"2023-12-26";"2023-12-18";" 0000000000000035.68"
" 000000000000966669.";"0978";"2023-12-26";"2023-12-18";" 0000000000000037.08"
" 000000000000966670.";"0978";"2023-12-26";"2023-12-18";" 0000000000000004.59"
" 000000000000638771.";"0978";"2024-01-03";"2023-12-18";" 0000000000000008.28"
" 000000000000966668.";"0978";"2024-01-03";"2023-12-18";" 0000000000000036.83"
" 000000000000966669.";"0978";"2024-01-03";"2023-12-18";" 0000000000000039.25"
" 000000000000966668.";"0328";"2024-01-12";"2023-12-18";" 0000000000000063.43"
" 000000000000966669.";"0328";"2024-01-12";"2023-12-18";" 0000000000000067.24"
" 000000000000966670.";"0328";"2024-01-12";"2023-12-18";" 0000000000000011.48"
" 000000000000966679.";"0328";"2024-01-12";"2023-12-18";" 0000000000000005.22"
